year,Rainy_Races,Rain_Proportion,Total_Races,Rain_Percentage
2001,2,0.11764705882352941,17,11.76470588235294
2002,1,0.058823529411764705,17,5.88235294117647
2003,3,0.1875,16,18.75
2004,3,0.16666666666666666,18,16.666666666666664
2005,2,0.10526315789473684,19,10.526315789473683
2006,0,0.0,18,0.0
2007,3,0.17647058823529413,17,17.647058823529413
2008,6,0.3333333333333333,18,33.33333333333333
2009,3,0.17647058823529413,17,17.647058823529413
2010,2,0.10526315789473684,19,10.526315789473683
2011,4,0.21052631578947367,19,21.052631578947366
2012,3,0.15,20,15.0
2013,4,0.21052631578947367,19,21.052631578947366
2014,3,0.15789473684210525,19,15.789473684210526
2015,2,0.10526315789473684,19,10.526315789473683
2016,3,0.14285714285714285,21,14.285714285714285
2017,3,0.15,20,15.0
2018,5,0.23809523809523808,21,23.809523809523807
2019,3,0.14285714285714285,21,14.285714285714285
2020,4,0.23529411764705882,17,23.52941176470588
