year,temperature_mean,temperature_std,temperature_min,temperature_max,temperature_count,temp_ci_lower,temp_ci_upper
2001,21.235294117647058,5.198189730145317,12.7,29.6,17,18.764231574940904,23.70635666035321
2002,21.305882352941175,4.744795910815777,15.2,30.1,17,19.050349550818076,23.561415155064275
2003,21.7875,5.550360348662058,10.6,34.0,16,19.06782342915559,24.50717657084441
2004,21.283333333333335,4.361361093538953,16.0,28.7,18,19.268487303762882,23.298179362903788
2005,22.405263157894737,4.943061768693854,13.4,33.6,19,20.1825915171592,24.627934798630275
2006,22.694444444444443,5.311637857763472,12.8,32.8,18,20.24059294746904,25.148295941419846
2007,23.670588235294115,5.624251584197932,14.7,33.1,17,20.996988743557456,26.344187727030775
2008,23.25,6.471498599060888,13.5,37.1,18,20.260320178027673,26.239679821972327
2009,24.576470588235296,5.555687335038383,15.7,35.0,17,21.935464471627746,27.217476704842845
2010,23.31578947368421,4.379404215935052,14.300000000000002,29.7,19,21.346569178739646,25.285009768628772
2011,21.8,5.447119524217466,12.5,31.399999999999995,19,19.350676350667133,24.24932364933287
2012,23.865000000000002,4.501727738499848,16.2,31.5,20,21.892030829061518,25.837969170938486
2013,24.026315789473685,5.527993618872258,15.7,34.1,19,21.540626712179176,26.512004866768194
2014,23.068421052631578,4.174399841305061,14.5,29.8,19,21.19138196662975,24.945460138633408
2015,22.310526315789474,4.156640568862485,16.1,30.5,19,20.44147277256767,24.179579859011277
2016,22.219047619047622,5.09024744463558,12.2,31.3,21,20.04191282507847,24.396182413016774
2017,24.175,3.5629489560135292,12.6,28.6,20,22.6134687710624,25.7365312289376
2018,22.814285714285717,4.9621855783803275,15.2,32.8,21,20.691923885253416,24.936647543318017
2019,22.29047619047619,4.395100085538981,16.6,33.8,21,20.410660833113194,24.170291547839188
2020,21.61764705882353,5.751547106444235,8.5,29.8,17,18.883535116944294,24.351759000702764
