year,windspeed_mean,windspeed_std,windspeed_min,windspeed_max,windspeed_count,wind_ci_lower,wind_ci_upper
2001,11.423529411764704,5.178504780793959,4.8,21.3,17,8.961824499988243,13.885234323541166
2002,12.258823529411766,5.892162042019192,3.1,26.0,17,9.457867490205864,15.059779568617667
2003,9.8625,7.927830724731702,0.5,23.9,16,5.977862944881466,13.747137055118536
2004,14.38888888888889,8.412028424953295,4.1,37.0,18,10.502730024914158,18.27504775286362
2005,10.342105263157896,4.7310224158648,2.3,21.1,19,8.214778143350241,12.46943238296555
2006,10.222222222222221,6.118684552548429,1.9,24.6,18,7.395534174043952,13.04891027040049
2007,13.611764705882353,6.2319622063340905,6.1,26.7,17,10.649277922006908,16.5742514897578
2008,12.955555555555556,6.310422957971734,4.7,26.1,18,10.040288883273993,15.870822227837118
2009,11.811764705882354,7.253006476019201,1.3,30.4,17,8.363904286136734,15.259625125627974
2010,12.668421052631578,6.473797840489937,2.9,26.3,19,9.75744653092049,15.579395574342666
2011,11.926315789473684,6.493915280669639,3.6,26.3,19,9.006295363449846,14.846336215497521
2012,11.15,4.571824465940093,4.6,20.2,20,9.146309583740411,13.15369041625959
2013,15.015789473684212,7.7237198261729025,5.4,37.8,19,11.542781483505365,18.488797463863058
2014,11.978947368421053,5.482049388419993,3.6,21.3,19,9.513917336645342,14.443977400196765
2015,12.489473684210527,7.856271008057625,2.6,27.8,19,8.956863413763394,16.02208395465766
2016,13.7,7.3897225928988695,4.0,27.9,21,10.539363439642788,16.86063656035721
2017,12.76,8.191741669446577,1.8,30.0,20,9.16981091950797,16.35018908049203
2018,15.185714285714285,8.251623216936514,3.3,41.8,21,11.656436739246736,18.714991832181834
2019,15.109523809523811,8.606271246126557,2.4,33.9,21,11.428560795432103,18.790486823615517
2020,12.794117647058824,6.79241034061504,3.4,27.5,17,9.565210731628756,16.023024562488892
